IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #DESCRIPTORS, #MATCHED KEYPOINTS, TTC CAMERA, TTC LIDAR, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
17, HARRIS, FREAK, MAT_BF, SEL_KNN, 126, 1024, 18, 12.5848, 9.61241, 13.1258, 41.3297, 0.103164
1, HARRIS, SIFT, MAT_BF, SEL_KNN, 209, 2944, 13, 12.5848, 12.5156, 15.108, 19.3782, 0.074648
2, HARRIS, SIFT, MAT_BF, SEL_KNN, 114, 2176, 17, 10.195, 12.6142, 12.6406, 18.81, 0.087851
3, HARRIS, SIFT, MAT_BF, SEL_KNN, 178, 2560, 15, 10.195, 14.091, 14.0785, 19.0426, 0.077791
4, HARRIS, SIFT, MAT_BF, SEL_KNN, 250, 3584, 16, 11.3951, 16.6894, 16.5631, 19.677, 0.108967
5, HARRIS, SIFT, MAT_BF, SEL_KNN, 241, 3456, 27, 35.3833, 15.7465, 15.8806, 19.0888, 0.136761
6, HARRIS, SIFT, MAT_BF, SEL_KNN, 259, 3712, 24, 15.2483, 12.7835, 16.3074, 19.2204, 0.125792
7, HARRIS, SIFT, MAT_BF, SEL_KNN, 272, 3968, 24, 13.9875, 11.9844, 17.2532, 19.3385, 0.135504
8, HARRIS, SIFT, MAT_BF, SEL_KNN, 193, 2816, 23, 296.117, 13.1241, 14.4749, 19.2895, 0.125389
9, HARRIS, SIFT, MAT_BF, SEL_KNN, 129, 2176, 16, nan, 13.0241, 13.2106, 18.4654, 0.087228
10, HARRIS, SIFT, MAT_BF, SEL_KNN, 248, 3712, 16, -13.4405, 11.1746, 16.1696, 19.045, 0.091045
11, HARRIS, SIFT, MAT_BF, SEL_KNN, 147, 2432, 18, 11.7414, 12.8086, 13.1512, 18.3057, 0.115624
12, HARRIS, SIFT, MAT_BF, SEL_KNN, 168, 2816, 16, 10.674, 8.95978, 13.6622, 19.2077, 0.084731
13, HARRIS, SIFT, MAT_BF, SEL_KNN, 181, 2560, 16, 10.674, 9.96439, 14.2506, 19.0713, 0.09143
14, HARRIS, SIFT, MAT_BF, SEL_KNN, 144, 2304, 17, 5.6061, 9.59863, 13.3763, 18.9927, 0.083745
15, HARRIS, SIFT, MAT_BF, SEL_KNN, 243, 3584, 17, -14.7808, 8.52157, 18.5545, 18.4682, 0.095436
16, HARRIS, SIFT, MAT_BF, SEL_KNN, 213, 3968, 25, 11.3613, 9.51552, 14.9303, 19.6084, 0.129174
17, HARRIS, SIFT, MAT_BF, SEL_KNN, 126, 2048, 16, 12.5848, 9.61241, 12.9904, 19.2102, 0.10049
1, FAST, BRISK, MAT_BF, SEL_KNN, 1898, 11136, 113, 13.893, 12.5156, 1.2811, 2.94007, 0.787591
2, FAST, BRISK, MAT_BF, SEL_KNN, 1865, 10752, 117, 13.4879, 12.6142, 1.11537, 2.81094, 0.858335
3, FAST, BRISK, MAT_BF, SEL_KNN, 1840, 11456, 121, 17.3288, 14.091, 1.07554, 2.92161, 0.862208
4, FAST, BRISK, MAT_BF, SEL_KNN, 1867, 10304, 111, 13.5777, 16.6894, 1.27497, 2.83635, 0.821924
5, FAST, BRISK, MAT_BF, SEL_KNN, 1876, 11072, 102, 13.5777, 15.7465, 1.28458, 2.92079, 0.784958
6, FAST, BRISK, MAT_BF, SEL_KNN, 1843, 10688, 108, 13.5777, 12.7835, 1.08756, 2.78481, 0.821339
7, FAST, BRISK, MAT_BF, SEL_KNN, 1829, 10624, 108, 12.5062, 11.9844, 1.06363, 2.77069, 0.805688
8, FAST, BRISK, MAT_BF, SEL_KNN, 1843, 9792, 110, 11.6377, 13.1241, 1.09255, 2.79543, 0.755526
9, FAST, BRISK, MAT_BF, SEL_KNN, 1818, 10752, 112, 13.6424, 13.0241, 1.27283, 2.87804, 0.771914
10, FAST, BRISK, MAT_BF, SEL_KNN, 1879, 10432, 110, 13.4693, 11.1746, 1.1106, 2.81208, 0.788088
11, FAST, BRISK, MAT_BF, SEL_KNN, 1849, 11200, 93, 12.6071, 12.8086, 1.06645, 2.88858, 0.814608
12, FAST, BRISK, MAT_BF, SEL_KNN, 1826, 10880, 125, 11.7556, 8.95978, 1.12291, 2.87137, 0.8851
13, FAST, BRISK, MAT_BF, SEL_KNN, 1842, 10496, 119, 11.9837, 9.96439, 1.11795, 2.73652, 0.818142
14, FAST, BRISK, MAT_BF, SEL_KNN, 1833, 11200, 122, 12.4194, 9.59863, 1.08019, 2.86248, 0.812829
15, FAST, BRISK, MAT_BF, SEL_KNN, 1921, 10240, 114, 13.3464, 8.52157, 1.11967, 2.78485, 0.799278
16, FAST, BRISK, MAT_BF, SEL_KNN, 1934, 11776, 106, 14.9981, 9.51552, 1.10727, 2.92991, 0.835377
17, FAST, BRISK, MAT_BF, SEL_KNN, 1946, 10880, 120, 9.57506, 9.61241, 1.19231, 2.78902, 0.861434
1, FAST, BRIEF, MAT_BF, SEL_KNN, 1898, 5568, 132, 11.6597, 12.5156, 1.28371, 2.05845, 1.83393
2, FAST, BRIEF, MAT_BF, SEL_KNN, 1865, 5376, 152, 13.7847, 12.6142, 1.11581, 2.01274, 1.9957
3, FAST, BRIEF, MAT_BF, SEL_KNN, 1840, 5728, 140, 16.2125, 14.091, 1.11357, 1.9676, 1.82434
4, FAST, BRIEF, MAT_BF, SEL_KNN, 1867, 5152, 142, 24.4261, 16.6894, 1.07541, 2.00701, 1.88909
